FILENAME, ALGORITHM, SIMILARITY, EQUALITY, DIFFERENCE, COMPRESSION RATE, COMPRESSOR, COMPRESSION TIME, DECOMPRESSION TIME, IS SPLITTED
Hol_2D_dice.mat,RPT,1.0,False,2.1356147480059883e-05,20.279781720260903,Fpzip,2.5553551999998945,0.8241075000000819,True
Hol_2D_dice.mat,RFT,1.0,False,0.0020282712436500375,9.553772910693603,Fpzip,0.7738636000001407,0.40753829999994196,True
Hol_2D_dice.mat,RPT,1.0,False,2.1356147480059883e-05,15.540825756553488,Fpzip,2.679776499999889,0.8493248999998286,False
Hol_2D_dice.mat,RFT,1.0,False,0.0020282712436500375,6.013507287841602,Fpzip,0.8626553999999942,0.44355799999993906,False
Hol_2D_dice.mat,RPT,1.0,False,2.1356147480059883e-05,4.1821467751034564,Gzip,3.6527541000000383,0.7835544000001846,True
Hol_2D_dice.mat,RFT,1.0,False,0.0020282712436500375,4.150104257989673,Gzip,1.5233037999998942,0.33743140000001404,True
Hol_2D_dice.mat,RPT,1.0,False,2.1356147480059883e-05,4.18318662727204,Gzip,3.426326300000028,0.7922728000000916,False
Hol_2D_dice.mat,RFT,1.0,False,0.0020282712436500375,4.125135749686548,Gzip,1.551195000000007,0.3459553000000142,False
Hol_2D_dice.mat,RPT,1.0,False,2.1356147480059883e-05,1.9679036516985882,Bzip2,4.521009499999991,1.8827539999999772,True
Hol_2D_dice.mat,RFT,1.0,False,0.0020282712436500375,1.5918358403164468,Bzip2,2.5646868999999697,1.4489304999999604,True
Hol_2D_dice.mat,RPT,1.0,False,2.1356147480059883e-05,1.9881973463394598,Bzip2,4.59910519999994,2.0027595999999903,False
Hol_2D_dice.mat,RFT,1.0,False,0.0020282712436500375,1.478238772542828,Bzip2,2.627113200000167,1.4683833999999933,False
Hol_2D_dice.mat,RPT,1.0,False,2.1356147480059883e-05,17.63029264785635,Zfp,2.5889022999999725,0.8762358999999833,True
Hol_2D_dice.mat,RFT,1.0,False,0.0020282712436500375,5.241017689151295,Zfp,0.6985925999999836,0.41001619999997274,True
Hol_2D_dice.mat,RPT,1.0,False,2.1356147480059883e-05,10.351541466305491,Zfp,2.6459233999999014,0.8699593000001187,False
Hol_2D_dice.mat,RFT,1.0,False,0.0020282712436500375,4.341159763098168,Zfp,0.6509827000002133,0.41684680000003027,False
Hol_2D_dice.mat,RPT,1.0,False,2.1356147480059883e-05,4.182219112645614,Zip,3.441941199999974,0.7904456999999638,True
Hol_2D_dice.mat,RFT,1.0,False,0.0020282712436500375,4.150176595531841,Zip,1.5331217999998898,0.32525940000004994,True
Hol_2D_dice.mat,RPT,1.0,False,2.1356147480059883e-05,4.183222796043129,Zip,3.42560259999982,0.7873025000001235,False
Hol_2D_dice.mat,RFT,1.0,False,0.0020282712436500375,4.125171918457626,Zip,1.6695750999999746,0.34055110000008426,False
Hol_2D_multi.mat,RPT,1.0,False,2.4766876549620065e-07,19.394843279205876,Fpzip,2.6212107000001197,0.92524729999991,True
Hol_2D_multi.mat,RFT,1.0,False,9.847566252574325e-05,10.205966703703274,Fpzip,0.6398847999998907,0.33421309999994264,True
Hol_2D_multi.mat,RPT,1.0,False,2.4766876549620065e-07,14.260390263615774,Fpzip,2.7270538999998735,0.9271754000001238,False
Hol_2D_multi.mat,RFT,1.0,False,9.847566252574325e-05,8.914791206120299,Fpzip,0.6248161000000891,0.343727299999955,False
Hol_2D_multi.mat,RPT,1.0,False,2.4766876549620065e-07,7.062195219576939,Gzip,3.017547800000102,0.8565267000001313,True
Hol_2D_multi.mat,RFT,1.0,False,9.847566252574325e-05,6.534700842582842,Gzip,0.979329099999859,0.31326110000009066,True
Hol_2D_multi.mat,RPT,1.0,False,2.4766876549620065e-07,7.046250911447782,Gzip,2.991153200000099,0.8550852999999279,False
Hol_2D_multi.mat,RFT,1.0,False,9.847566252574325e-05,6.44701016191942,Gzip,1.0057808000001387,0.26922669999999016,False
Hol_2D_multi.mat,RPT,1.0,False,2.4766876549620065e-07,4.818671321319579,Bzip2,3.516538800000035,1.430572100000063,True
Hol_2D_multi.mat,RFT,1.0,False,9.847566252574325e-05,3.889458744690455,Bzip2,1.4907590999998774,0.8014812999999776,True
